"Convergence history of Mass Flow Rate on pressure-outlet-stator (in SI units)"
"Iteration" "Mass Flow Rate"
1 -0.08430577715625987
2 -0.08891050098463893
3 -0.08600984665099531
4 -0.08037450339179486
5 -0.06310858207871206
6 -0.03015917495940812
7 0.02228213640046306
8 0.05683191440766677
9 0.02218768111197278
10 0.02111693129700143
11 0.0163865458307555
12 0.008823182291962439
13 0.00598040375916753
14 0.004715629056590842
15 0.005512601768714376
16 0.007270934955158737
17 0.008807306519884151
18 0.008690893522725673
19 0.009463272101129405
20 0.009775562437425833
21 0.01044470899432781
22 0.01109713441837812
23 0.01131048590468708
24 0.01157376272021793
25 0.01169068027229514
26 0.0118439974685316
27 0.01176729571125179
28 0.01155322993872687
29 0.01118249642377123
30 0.01075404606444863
31 0.01004136092478802
32 0.009014331789330754
33 0.008031809225485631
34 0.006953228441034298
35 0.006067551900741819
36 0.005331354831469071
37 0.004504135694332945
38 0.003871709641316556
39 0.003081449294995764
40 0.002276088154530953
41 0.001363309872431273
42 0.0002844036794158456
43 -0.0008868831696418056
44 -0.002126984630649531
45 -0.003289105137355364
46 -0.004441762946044037
47 -0.005602583923973725
48 -0.006762087376046111
49 -0.007940637962747132
50 -0.009104920161917107
51 -0.01022180576183018
52 -0.01126772668067133
53 -0.01227478118380532
54 -0.01323491914808983
55 -0.01413700249395333
56 -0.01498468231875449
57 -0.01577378428919474
58 -0.0165060375657049
59 -0.01718083408923121
60 -0.01779649084346602
61 -0.01835998860042309
62 -0.0188646461974713
63 -0.01931482057989342
64 -0.01971312645764556
65 -0.02006191508553457
66 -0.02036130853230134
67 -0.02061712301656371
68 -0.02082893346232595
69 -0.02100490550947143
70 -0.02114386208268115
71 -0.02125217545835767
72 -0.0213316476874752
73 -0.02138481227302691
74 -0.02141417974053184
75 -0.02142112440196797
76 -0.02140934044291498
77 -0.02137928815500345
78 -0.02133558100467781
79 -0.02127714768721489
80 -0.02120754533098079
81 -0.0211282156597008
82 -0.02104063635488274
83 -0.02094603120349348
84 -0.0208459993446013
85 -0.02074221972725354
86 -0.02063567086588591
87 -0.02052656425803434
88 -0.02041748377814656
89 -0.02030841891246382
90 -0.02020030650601257
91 -0.02009395147615578
92 -0.01999037468340248
93 -0.01989004458300769
94 -0.01979330690664938
95 -0.01970086078654276
96 -0.01961325945012504
97 -0.01953006607072894
98 -0.01945262504159473
99 -0.01938002593669808
100 -0.01931289355707122
101 -0.01925027074321406
102 -0.01919382640335243
103 -0.01914269058033824
104 -0.01909634566254681
105 -0.01905535060359398
106 -0.01901928308507195
107 -0.01898774121218594
108 -0.01896060090803076
109 -0.01893761404789984
110 -0.01891862277989276
111 -0.01890349930908997
112 -0.01889135753299343
113 -0.01888259411498439
114 -0.0188768203224754
115 -0.01887336742220214
116 -0.0188725422922289
117 -0.01887363946298137
118 -0.01887690299190581
119 -0.01888166955177439
120 -0.01888788676296827
121 -0.01889550971827703
122 -0.01890413515502587
123 -0.01891363476170227
124 -0.01892391335422872
125 -0.01893464683234925
126 -0.018945801697555
127 -0.01895721564505948
